cx,cy,cyaw,ck
671824.4161339271,3529975.7332757977,-1.487778720500576,6.378872301166473e-09
671824.4990664279,3529974.7365969545,-1.4885047477723157,-0.0007259377357973195
671824.5821847403,3529973.7288315725,-1.4877787006647334,0.0007180144141115893
671824.665117261,3529972.7321527307,-1.488504732707349,-0.0007259425059032179
671824.7482355883,3529971.7243873533,-1.4885047242924612,8.321789742238786e-09
671824.8313539242,3529970.716621975,-1.4877786741014052,0.0007180174647339953
671824.9142864711,3529969.719943139,-1.4877786654787895,8.621553204358775e-09
671824.9972190266,3529968.723264303,-1.4885046982505223,-0.0007259432372141541
671825.0803373886,3529967.715498929,-1.488504686855986,1.1268472780110838e-08
671825.1634557619,3529966.707733558,-1.4978453643432776,-0.00923720252927471
671825.2371154946,3529965.6998096686,-1.487778633618239,0.009960857516567655
671825.3200480815,3529964.7031308394,-1.4877786226754481,1.094144233286663e-08
671825.4029806794,3529963.7064520093,-1.4892149783510593,-0.0014361781791947072
671825.4862848846,3529962.6876001037,-1.4892149672342316,1.0874842358545474e-08
671825.5695891009,3529961.6687482023,-1.497845328717825,-0.008442395654869166
671825.6432488692,3529960.6608243193,-1.4877785883402865,0.009960867105721654
671825.726181501,3529959.664145496,-1.4885046192836873,-0.0007259414136060173
671825.8092999421,3529958.656380135,-1.488504613013319,6.2009960192118115e-09
671825.8924183893,3529957.6486147763,-1.49845483047512,-0.009839970863735378
671825.966263991,3529956.629604362,-1.4877785565955626,0.010449498448259362
671826.0491966542,3529955.632925544,-1.4885045854017267,-0.0007259392784466308
671826.1323151293,3529954.6251601875,-1.498454808292585,-0.009839976232787543
671826.2061607533,3529953.6061497782,-1.4877785313464975,0.010449501485267854
671826.2890934417,3529952.6094709625,-1.4978452591902167,-0.010065317383271282
671826.3627532795,3529951.6015470927,-1.5077042108657173,-0.00975527055395012
671826.4271402594,3529950.5823781677,-1.5165545064317425,-0.008666444859828343
671826.4818827794,3529949.574137262,-1.52591980636629,-0.009274955402943052
671826.5271666399,3529948.565737838,-1.5262252900318845,-0.0003026341527636234
671826.5726362998,3529947.546251878,-1.544765485833276,-0.01816672590213946
671826.599188627,3529946.5264488817,-1.544865195478445,-9.774031396245598e-05
671826.6259267522,3529945.4955593483,-1.563312068424224,-0.017887101190456674
671826.6335617367,3529944.475439316,-1.563312074807711,-6.257408855404685e-09
671826.6411967146,3529943.455319285,-1.5727875228451746,-0.009288162749210384
671826.6391872128,3529942.4461272764,-1.5725837827662037,0.00020188395462896665
671826.6373635079,3529941.42584873,-1.5725837954330624,-1.2415078675232109e-08
671826.63553979,3529940.4055701843,-1.554038808530627,0.01817532514929466
671826.6524476134,3529939.396695216,-1.5352900725036223,0.018580107531038045
671826.6882727839,3529938.388137286,-1.4791752407978123,0.055574434908820004
671826.7808500037,3529937.3805304714,-1.414323031054482,0.06404774319189432
671826.9396379711,3529936.3740332886,-1.327906092060472,0.08470463772689531
671827.1831824591,3529935.391135855,-1.2234092018562288,0.10300676858193075
671827.5304008478,3529934.432155215,-1.0992209966690967,0.12145183579535747
671827.99019444,3529933.5305095133,-0.9536009703576881,0.14336912183907186
671828.58129482,3529932.6976023386,-0.7976212327139146,0.1521022573268217
671829.2840414317,3529931.977462825,-0.6321096882289727,0.1637404721878043
671830.098248485,3529931.381177534,-0.4515623709446653,0.17793065075854964
671831.0044411896,3529930.94168906,-0.2709059012210902,0.17840122775730066
671831.983516352,3529930.6697669225,-0.07065244051779572,0.19575920762630908
671832.9970817802,3529930.598036658,0.11502857106693067,0.18169058311203035
671834.0074885039,3529930.7147776433,0.33093505910534365,0.21062528149749962
671834.9576127506,3529931.0412117983,0.5133920437703162,0.18060885063440915
671835.8292803458,3529931.5326759033,0.7234273895430358,0.20835477610446285
671836.5844707207,3529932.1996223656,0.917044072745631,0.19096997782869954
671837.1955510579,3529932.997229426,1.1060183223425173,0.1869566096801206
671837.644161446,3529933.891920385,1.2657245986582928,0.1588913864511273
671837.9495908844,3529934.8618392,1.3981304359082574,0.12982876784054956
671838.1222271515,3529935.8517116965,1.5220206372409422,0.12298150468402905
671838.1715289552,3529936.8616963937,1.606099945928112,0.08305116134267647
671838.1355168526,3529937.881340869,1.6632471837787528,0.05598083400029787
671838.0431243225,3529938.8778610923,1.7008237081952586,0.03753787126975392
671837.9128971088,3529939.8737472002,1.7088378066348553,0.007979186627588373
671837.773025428,3529940.880561319,1.7088378066348553,0.007979186627588373
