Easting,Northing,Heading,Speed
671827.7927596874,3529936.8430066025,164.592486,5.955836447582506
671828.1492509709,3529935.8952710396,155.68283999999994,5.8736056667955845
671828.6463218704,3529935.0275190584,145.25712599999997,5.324713424714656
671829.3216213188,3529934.2514713,134.64464999999996,5.988896545118853
671830.1080095757,3529933.6214508377,122.81272799999999,5.394684419063445
671831.0236607698,3529933.182120896,110.06896799999998,5.247477808599071
671832.011451181,3529932.954703443,96.63308999999998,5.266296742165398
671833.0140712543,3529932.971506973,83.18622599999998,5.313301330115287
671833.9844133281,3529933.220652327,70.00302599999998,5.231657954333709
671834.8753697476,3529933.690260333,56.655035999999996,3.540795934844249
671835.630745818,3529934.3461201936,43.40591999999998,3.308583380649263
671836.2225371113,3529935.165583224,30.244691999999986,4.401929723521562
671836.6136521643,3529936.1036691293,17.720651999999973,5.091730111513856
671836.7957472047,3529937.093700127,5.372388000000001,5.354678820010493
671836.7693797195,3529938.102416591,-6.1958700000000135,5.145445025289138
671836.5447516926,3529939.0856308923,-16.555668000000026,3.110557898319209
671836.1695281682,3529940.021962603,-24.56446200000005,4.02921292055014
671835.6911883573,3529940.9011178357,-30.07943400000005,5.497516521322102
671835.147009541,3529941.756990324,-33.15551400000004,6.4003804312992045
671834.5748264147,3529942.5902141826,-33.06762600000002,6.534351365510787
671834.0308335775,3529943.4350001863,-31.145076000000017,6.48845608118208
671833.5053865537,3529944.3022763436,-28.23378600000001,6.500466910055784
671833.0363200107,3529945.192676749,-25.069817999999998,6.547631605128624
671832.6236339359,3529946.1062013987,-21.719088,5.326973869339212
671832.2673283186,3529947.0428502844,-18.29145600000004,3.3111875076128303
671831.957944479,3529948.002464876,-14.85283800000002,2.4658637727661206
